token,frequency
istər,41
"mənə,",41
ola,41
"dilbər,",41
İsa,40
kimsə,40
canım,40
əhlinin,40
"bil,",40
əlindən,40
ənbər,40
bundan,40
ləl,39
"olma,",39
canı,39
gəlib,39
Qəm,39
tez,39
doğru,39
uca,39
Fələk,39
olmaz,39
"Xətai,",39
"oldum,",38
etməyə,38
Bil,38
bilməz,38
"düşdü,",38
viran,38
"ay,",38
"nədir,",38
üzlü,38
uzaq,38
bunu,38
"olur,",38
Qoy,38
İki,38
adı,37
gözüm,37
meyl,37
"ver,",37
əhlinə,37
torpağa,37
kəsə,37
ehsan,37
Gözəl,37
bəy,37
Xaqani,37
"zaman,",36
üzündən,36
"bilməz,",36
odur,36
"sənə,",36
olub.,36
"Gəl,",36
dörd,36
olmuşam.,36
"edir,",35
dəm,35
gözümün,35
dost,35
"Rəbb,",35
boş,35
qul,35
badə,35
"Saqi,",35
inkar,35
"gül,",35
sanki,35
ah,35
Sübh,35
pis,35
qəlbi,35
adam,35
layiq,35
üzündə,35
könlümün,34
dolu,34
yara,34
Məgər,34
verdi,34
sahibi,34
Ondan,34
budur,34
aləmə,34
aləm,34
düşmən,34
yoxsa,34
gözü,34
səfa,34
"şah,",34
məskən,33
lakin,33
oğlu,33
zülfün,33
gələn,33
Allahın,33
üstə,33
iman,33
yanında,33
"gözəl,",33
əldən,33
"əgər,",33
hardasan?,33
"getdi,",33
hamısı,33
Üzünü,32
"imiş,",32
ürək,32
yolunu,32
onlar,32
Xoş,32
etmiş,32
bilir,32
bülbül,32
dərdi,32
aşiqə,32
tənə,32
gümüş,32
bizim,32
işə,32
"yar,",32
"olmuşam,",32
Sanki,31
inci,31
Dünyanın,31
halını,31
sərxoş,31
yana,31
cəfa,31
verən,31
yaşım,31
həmdəm,31
işi,31
vüsal,31
gövhər,31
ətirli,31
Haqqın,31
yeri,31
Dedi,31
bənzər.,31
Üzün,31
gərək.,31
dodağının,30
gəlir.,30
hələ,30
adını,30
rəhm,30
səbr,30
zövq,30
fəda,30
ox,30
çəkib,30
fələyin,30
nalə,30
Bəlkə,30
qaldı,30
bəs,30
tutub,30
"mənim,",30
cahan,30
"sənəm,",30
il,30
ağlayırsan!,30
uzun,29
ərz,29
etdim.,29
yolu,29
ağıl,29
gülən,29
"aldı,",29
edə,29
qəribə,29
"gördüm,",29
Füzuli,29
kərəm,29
vaxtı,29
Yoxsa,29
yad,29
and,29
tək.,29
gəldi.,29
Zülfünün,29
edir.,29
zərrə,29
zaman.,29
Hansı,29
canan,29
əzəldən,29
dedi,29
əldə,29
Əli,29
"Ver,",29
Nəsiminin,29
qırmızı,28
yaş,28
dərdinə,28
Məcnun,28
"fələk,",28
acı,28
şam,28
qədrini,28
çətin,28
"ikən,",28
Süleyman,28
başını,28
edir,28
başında,28
tapılmaz.,28
"məni,",28
etmə!,28
xalqa,28
bağlı,28
"bənzər,",28
gördü,28
Xətai,28
xan,28
qanını,27
"gəlir,",27
Gözümün,27
Kəbə,27
gördüm,27
qədəh,27
şükür,27
"verdi,",27
zülfü,27
halı,27
iş,27
"etdin,",27
"gün,",27
səbəbdən,27
mümkün,27
"gərək,",27
bənzər,27
gözəllər,27
Və,27
Musa,27
gəldi,27
Gecə-gündüz,27
—,27
yola,27
Onlar,27
Biz,27
qoy,27
"oğul,",27
"Vaqif,",27
qönçə,26
olmaq,26
"zahid,",26
ayrılıq,26
"istər,",26
fani,26
məhv,26
bilən,26
ayna,26
haqqı,26
cam,26
Mey,26
vəfa,26
Çin,26
imiş,26
dövran,26
odu,26
sözünü,26
olur.,26
"bilir,",26
Özünü,26
əli,26
gözdən,26
"edərəm,",26
istəməz.,26
bəri,26
söz.,26
Yar,26
"könlüm,",26
xəncər.,26
"Cavad,",26
"çıxar,",25
fəryad,25
bal,25
göylərə,25
imiş.,25
Xalq,25
gözümdən,25
ömür,25
"etməz,",25
yerdən,25
olduğu,25
zülfünü,25
Bəs,25
"açıb,",25
olma,25
pərvanə,25
sevgili,25
Söz,25
onunla,25
"sənsən,",25
Könlüm,25
"Bu,",25
aləmi,25
axır,25
incə,25
"budur,",25
"canım,",25
getmə!,25
könlüm.,25
"gördü,",25
şahı,25
Çün,25
dəyər.,25
"çəkib,",24
olmadı.,24
"kəs,",24
tələb,24
xəyalı,24
görmək,24
et!,24
"tutub,",24
hal,24
kamil,24
özünə,24
"kim,",24
Qara,24
etsə,24
görəndə,24
var?,24
tərəfə,24
Kövsər,24
qafil,24
sirri,24
qəmdən,24
rəngi,24
Məndən,24
"""Ey",24
biz,24
saçının,24
Ünsüri.,24
"düşər,",23
"görüb,",23
əks,23
edib.,23
Haqqdan,23
"çəkdi,",23
"saqi,",23
şərabı,23
lalə,23
şamı,23
"bu,",23
yəqin,23
eylə,23
düşüb,23
gecə-gündüz,23
zülfünə,23
"çoxdur,",23
sənsiz,23
dünyadan,23
könlümə,23
hesab,23
"desəm,",23
Amma,23
başı,23
Min,23
daş,23
düşdü.,23
gözünün,23
verdi.,23
an.,23
bircə,23
gəl!,23
Hələ,23
"Seyyid,",23
kimi.,23
Cavad!,23
Hicran,22
Neçə,22
"çək,",22
məndə,22
eşqi,22
dövlət,22
xalq,22
şərh,22
Ayrılıq,22
"alıb,",22
dəf,22
Xızır,22
bağrımı,22
göyə,22
hasil,22
dilə,22
"saldı,",22
Canım,22
"çatdı,",22
asan,22
getdi,22
açıb,22
oduna,22
olmuşdur.,22
müşk,22
Yer,22
gözlərin,22
elm,22
özün,22
gündə,22
on,22
gəldin!,22
çəkən,21
yanan,21
arasında,21
sanma,21
sirr,21
almaq,21
əməl,21
"dedilər,",21
məclis,21
ilan,21
başa,21
"əlbəttə,",21
"sal,",21
"varsa,",21
nuru,21
Yəqin,21
Şirin,21
"verib,",21
göydə,21
quru,21
gözəllik,21
fərman,21
Bundan,21
Onda,21
"gəlib,",21
"deyə,",21
canımın,21
"çıxdı,",21
sənə.,21
"etsən,",21
düşdü,21
Tanrı,21
"nuru,",21
Gördü,21
"al,",21
əlində,21
"qəm,",21
ruh,21
at,21
hamı,21
şahın,21
oda,21
gör!,21
qanı,20
yeli,20
atəşi,20
dağ,20
ayı,20
qarşı,20
olar?,20
möhkəm,20
quşu,20
nərgiz,20
orada,20
budur.,20
xalqı,20
mülkünün,20
abad,20
təsir,20
yetər,20
Ağ,20
əcəb,20
"edən,",20
çəkdi,20
halımı,20
rahatlıq,20
Canımı,20
dodağın,20
kədər,20
Hərçənd,20
ədalət,20
ələ,20
aya,20
kölgə,20
fəxr,20
tay,20
"qaldı,",20
yazıq,20
tamam,20
sənsiz.,20
dar,20
dost!,20
müştaqam.,20
Vaqif,20
Gecə,20
xar,19
oxunu,19
qəmi,19
görünür.,19
yada,19
könlü,19
"pəri,",19
"çəkmə,",19
ahımın,19
Lütf,19
"istərəm,",19
candan,19
Yəni,19
deyir,19
cavab,19
ki:,19
Daim,19
zərər,19
dövr,19
cananın,19
kömək,19
"tut,",19
"idim,",19
yetər.,19
fikri,19
Axırda,19
alçaq,19
Bülbül,19
adət,19
yolda,19
ev,19
son,19
huri,19
Bəzən,19
haqq,19
başıma,19
tikan,19
üç,19
meydana,19
əsir,19
ağzı,19
yoxdur!,19
tam,19
xeyir,19
fəth,19
edim,19
dilbərin,19
sənin.,19
quş,19
"dost,",19
ürəyim,19
şeytan,19
tufan,19
söhbət,19
zahir,19
"şahı,",19
hərçənd,19
Vaqifin,19
zərif,19
köpək,19
Xaqaninin,19
etdim,18
"edim,",18
qılıncı,18
yaqut,18
təmiz,18
Dodağın,18
"olmasa,",18
etmə.,18
Fərhad,18
zəif,18
xoşdur.,18
yaşıl,18
"olmuş,",18
halda,18
ağacı,18
fəğan,18
nişan,18
"etsin,",18
etsin.,18
bahar,18
gündən,18
etməz.,18
suya,18
rast,18
İnsan,18
axırda,18
dodaqlarının,18
əvvəl,18
Niyə,18
Məndə,18
dərdimə,18
dövranın,18
Həmişə,18
olmasa,18
aşiqin,18
Saçının,18
düşər,18
çıxdı,18
səninlə,18
yox.,18
xəbərdar,18
mülkü,18
saldı,18
parlayan,18
xəyal,18
"olan,",18
səndə,18
olmaram.,18
Aşiqin,18
"onun,",18
səbəb,18
Daha,18
"məndən,",18
qılınc,18
tamamilə,18
Aşiq,18
ilahi,18
bağının,18
qoca,18
"Bax,",18
"tutdu,",18
Əzəldən,18
"bəri,",18
Dedilər:,18
heyvan,18
beş,18
Dörd,18
hanı?,18
Fazil,18
"gəlmir,",18
hiylə,17
çılpaq,17
Dərd,17
ciyər,17
salıb,17
Ah,17
mütləq,17
"an,",17
"göz,",17
səadət,17
dərhal,17
dərdimi,17
mənəm.,17
Birdən,17
hikmət,17
cəhənnəm,17
canıma,17
"vardı,",17
zay,17
gözəllərin,17
əzab,17
Fələyin,17
"çünki,",17
kəsin,17
hansı,17
Su,17
sərgərdan,17
qiyamət,17
bədən,17
qaranlıq,17
sözün,17
Gərçi,17
"keçdi,",17
xalın,17
"çəkər,",17
nəsib,17
gülü,17
çatdı.,17
oxu,17
ala,17
bilsin,17
qalan,17
verir,17
şəfa,17
bərabər,17
Səndə,17
"açdı,",17
Dedim:,17
"olum,",17
"vaxtıdır,",17
"səhər,",17
gözün,17
kor,17
"qalıb,",17
Ləl,17
"olmasın,",17
ağlayan,17
"etmişəm,",17
Şahın,17
"dünyada,",17
gəlir,17
bəlkə,17
"sənin,",17
sübut,17
iti,17
Sonra,17
"isə,",17
getdi.,17
çün,17
Yusif,17
gülüstan,17
vəfalı,17
evdə,17
ikən,16
kimə,16
Təzə,16
"su,",16
daima,16
Qan,16
nifrət,16
Ömür,16
rüsva,16
Gün,16
bel,16
Dünən,16
Eşqinin,16
verər.,16
yeni,16
camı,16
olmuş.,16
"lakin,",16
əziyyət,16
Bahar,16
dili,16
zamanın,16
yaxşılıq,16
zahid,16
dövründə,16
təkrar,16
Başqa,16
etdin.,16
bilmirəm,16
üzüm,16
məhrum,16
idim.,16
özgə,16
surəti,16
kiçik,16
ki?,16
ömrüm,16
divanə,16
həsrət,16
onları,16
dərdini,16
rəva,16
"Ey,",16
"istəyirsən,",16
"elə,",16
işim,16
yeddi,16
hökmü,16
ağıllı,16
bağı,16
şux,16
əsla,16
Gecələr,16
çəkər,16
görmədim.,16
kafir,16
ahım,16
"səni,",16
Həqiqət,16
onlara,16
deyilmi?,16
Bizim,16
sözləri,16
Yarın,16
Al,16
Baş,16
Onların,16
olma.,16
bağında,16
çıxan,16
həqiqət,16
div,16
Vey,16
pul,16
yanar,16
Hamısı,16
dedilər.,16
ovçu,16
"dövran,",16
it,16
doğuldu.,16
bizi,15
Gizli,15
Harada,15
Səba,15
gözünü,15
düşən,15
"kimidir,",15
mülkünə,15
dəmir,15
hökm,15
canın,15
təkcə,15
gözümə,15
çıxıb,15
demək,15
məgər,15
etibar,15
tərəf,15
Qızıl,15
məclisi,15
olmayan,15
Gördüm,15
daşı,15
qədəhi,15
torpağına,15
ziyan,15
"verər,",15
Kənan,15
"günəş,",15
Mənəm,15
dua,15
hörmət,15
əyri,15
olaraq,15
suyunu,15
Könlümün,15
Əvvəl,15
məhəbbət,15
sözə,15
verir.,15
rəng,15
zar,15
hala,15
özündən,15
agah,15
yay,15
yanağının,15
əlini,15
rahat,15
daxil,15
qulaq,15
İstər,15
"get,",15
olum,15
axan,15
bağrım,15
sizə,15
oldum,15
"dönüb,",15
ayın,15
"sevgilim,",15
görəndə.,15
eşqə,15
şəxs,15
Buna,15
ad,15
lütfü,15
şahlar,15
tərif,15
pay,15
gəlməz,15
dərk,15
"belə,",15
Pak,15
deyər,15
könlünü,15
saldı.,15
sərvə,15
"əzizim,",15
şər,15
bunun,15
"olmadı,",15
Ver,15
aradan,15
"yandı,",15
camalını,15
bilər,15
torpaqla,15
cahanda,15
qıl,15
"yandırdı,",15
"etmədi,",15
sərdar,15
alim,15
edərəm,15
mənası,15
Zülfün,15
içindəyəm.,15
sığmaram.,15
buna,15
Hanı,15
Şirvan,15
Hacı,15
çörək,15
şaha,15
oğlu!,15
gəlmir?,15
görmüşəm.,15
etdiyi,14
"göstər,",14
"vermə,",14
Canı,14
ucu,14
vəsl,14
Məryəm,14
nöqsan,14
zülmü,14
"odur,",14
yaman,14
Yeddi,14
Budur,14
dodağından,14
arzu,14
"verir,",14
tabe,14
bağ,14
şəriət,14
qəsd,14
hilal,14
yarı,14
məclisində,14
günəşin,14
Kimsə,14
Saqi,14
üstün,14
ətri,14
nurlu,14
vermə,14
saçan,14
dağı,14
"keçər,",14
göydən,14
səba,14
fayda,14
halıma,14
səsi,14
üzrə,14
Hüsnünün,14
"olaydı,",14
naz,14
"edirsən,",14
nəfəs,14
səs,14
sevda,14
durub,14
mərhəmət,14
ayağa,14
yenə.,14
tamaşa,14
mənəm,14
vüsalını,14
sübhə,14
üzə,14
Bəsdir,14
torpağı,14
saçın,14
çoxlu,14
tərəfdən,14
"salıb,",14
qəlbinə,14
qəmə,14
başından,14
Dünyanı,14
səxavət,14
kişi,14
qarşısında,14
"sahibi,",14
mülkünü,14
"düşdüm,",14
Rizvan,14
qaşın,14
məna,14
uşaq,14
durur.,14
qərar,14
haqqın,14
mədh,14
qaldı.,14
bənzətdim.,14
"dedim,",14
deyə,14
həmin,14
Üzü,14
evi,14
həm.,14
yalnız,14
"dedi,",14
zər,14
razı,14
gənc,14
gözünə,14
dodaqları,14
Nədir,14
nadan,14
cahanı,14
sənsən,14
"birdir,",14
düşər.,14
gedər.,14
görsənər.,14
qana,13
izah,13
hiyləgər,13
yaşları,13
ucundan,13
xuraman,13
Xəstə,13
Qanlı,13
parça,13
Adəm,13
faş,13
halın,13
qəmgin,13
qalıb,13
zövqü,13
təslim,13
"baxma,",13
tük,13
qanına,13
xidmət,13
insanlar,13
demə,13
haram,13
yuva,13
"alır,",13
Ürək,13
Yusifi,13
günəşdən,13
"götür,",13
Bizə,13
dərdim,13
varsa,13
odur.,13
"görünür,",13
olubdur,13
qəza,13
edəndə,13
"olmuşdur,",13
"vardır,",13
Məst,13
əziz,13
Ahımın,13
"içində,",13
tədbir,13
əksi,13
nəsihət,13
etməz,13
bəhs,13
evini,13
zəhmət,13
Şükür,13
fəna,13
sevgilinin,13
qanımı,13
alan,13
möhnət,13
parça-parça,13
bəzək,13
eşqinin,13
dəli,13
axşam,13
olmuşam,13
dərmanı,13
"tutar,",13
"aşiq,",13
Göydə,13
yolunun,13
Ənbər,13
"demə,",13
ney,13
birdir.,13
Dodağının,13
"İlahi,",13
aşiqlərin,13
işin,13
nəyə,13
tövbə,13
versə,13
Artıq,13
feyz,13
Seyyid,13
Var,13
"tapdı,",13
Ürəyim,13
edərəm.,13
qoyma,13
sadiq,13
"olsaydı,",13
xəzinə,13
ayaq,13
işlər,13
yağış,13
bulud,13
qoyub,13
ruzi,13
cənnətə,13
bərbad,13
oynar.,13
Düşmən,13
din,13
"Bəli,",13
xeyli,13
insan.,13
Dost,13
"de,",13
nazlı,13
ərşə,13
can.,13
nədən,13
"deyim,",13
yasəmən,13
bu.,13
qəlbim,13
sağ,13
yeksan,13
dastan,13
"eylə,",13
boyu,13
Rəhmanın,13
zəhər,13
"inan,",13
təəssüf,13
ayrılır.,13
xumar,13
gərəkməz.,13
Pəri!,13
Molla,13
vardır,13
"canan,",13
İraq,13
canımız.,13
ayna.,13
təzələ!,13
bax,12
tökən,12
Dövran,12
olmasın.,12
qaşının,12
Canıma,12
sərf,12
məkan,12
əskik,12
çəkmək,12
etsin,12
"edirəm,",12
canına,12
bağrı,12
dodağını,12
"ola,",12
yan,12
camaat,12
Ağıl,12
əsər,12
işdə,12
anda,12
dəniz,12
olması,12
ibadət,12
Quran,12
yerinə,12
mülkündə,12
Dil,12
dilbərə,12
Sevgilinin,12
Lalə,12
***,12
nəşə,12
Orada,12
Yaxşı,12
deyib,12
ulduzlar,12
dara,12
Vəslin,12
atəş,12
Gözümdən,12
vəsfini,12
"deyirlər,",12
gedib,12
cənnəti,12
doludur.,12
Şam,12
pəri,12
eşqində,12
qəmini,12
müsəlman,12
altında,12
"gedər,",12
Şərab,12
gələr,12
yüksək,12
malı,12
möhtac,12
xilas,12
ədəb,12
Günəşin,12
"açıldı,",12
məhrəm,12
yəni,12
bəzən,12
deyən,12
olsan,12
eyib,12
çatmaz.,12
çəkər.,12
çıxar,12
dərdli,12
çəkin!,12
"yeli,",12
"etmiş,",12
"qoydu,",12
Özü,12
töhfə,12
Birisi,12
köhnə,12
sel,12
vücudun,12
gözləri,12
xoşbəxt,12
önündə,12
"sanma,",12
gülə,12
sal,12
"yanar,",12
göstərən,12
Üzünə,12
Ki,12
"yarım,",12
Vüsalın,12
düçar,12
aydın,12
"aç,",12
surət,12
"qalmadı,",12
xalı,12
ulduz,12
"yetər,",12
"ancaq,",12
zülmət,12
zindan,12
qarğa,12
alıb,12
"doldu,",12
gərəkdir.,12
"insan,",12
Gər,12
"söylə,",12
о,12
odlu,12
şeyi,12
rədd,12
aldı,12
reyhan,12
Zülfü,12
bildi,12
Gəldi,12
qurbanın,12
əlinə,12
Mənsur,12
doqquz,12
top,12
Cənnət,12
meydan,12
eşqinə,12
Od,12
gəl.,12
düşmüşəm.,12
müdrik,12
"ələ,",12
çıxar.,12
Xaqaniyə,12
deyiləm.,12
gəlin!,12
Hadi!,12
Dəclə,12
dilə!,12
bəsləyər.,12
günəşi,11
əhlini,11
tutmaq,11
səfər,11
görsə,11
yoldaş,11
üçündür.,11
bədənim,11
dünən,11
Tək,11
"üzün,",11
sürmə,11
Zahid,11
dərdinin,11
istər.,11
zünnar,11
aman,11
Axır,11
dəyməz.,11
kirpik,11
Pərişan,11
qalmadı.,11
Zülm,11
bəbəyi,11
cəm,11
"düşüb,",11
ayağına,11
vəfasız,11
ol.,11
bir-bir,11
günah,11
məzəmmət,11
dənizi,11
verib,11
Başı,11
ola.,11
ali,11
zamanda,11
hazır,11
olsun!,11
həddən,11
Allahdan,11
"oldun,",11
bilirəm,11
"salma,",11
dövrü,11
müşkü,11
"gəzər,",11
həvəs,11
yandıran,11
əsiri,11
səbəbi,11
pərdə,11
Eşqə,11
Kaş,11
qonaq,11
xəncər,11
bir-birinə,11
"istə,",11
odlara,11
Vüsal,11
"könlümə,",11
nemət,11
dilbər,11
Füzulini,11
xətt,11
zəncirinə,11
sədəf,11
"səndən,",11
başımı,11
qəlbimin,11
"kəsdi,",11
sevdası,11
açan,11
məqsəd,11
dənizinin,11
"həmişə,",11
odundan,11
Gözüm,11
verməz.,11
əcəl,11
hidayət,11
şikayət,11
"zülfünə,",11
boyun,11
birisi,11
həll,11
yaradan,11
şadlıq,11
"Çünki,",11
kimidir.,11
Tez,11
qəmindən,11
qələm,11
əta,11
Məhəmməd,11
izzət,11
səhv,11
ətrafında,11
Sədəf,11
Boyun,11
xal,11
yoluna,11
ürəyi,11
Sözün,11
gözündən,11
Həmin,11
fikir,11
vüsalına,11
lazım,11
tut,11
"gələr,",11
Yol,11
qanad,11
suyun,11
aşiqi,11
ustad,11
verər,11
müddət,11
gedən,11
aslan,11
gərçi,11
dostun,11
bəlaya,11
vüsalından,11
söylədi:,11
de,11
Elm,11
Söylə,11
beləcə,11
Pərvanə,11
evində,11
cavan,11
"keçmişəm,",11
hey,11
yandırdı,11
cahanın,11
Ayrılığın,11
ağlın,11
iqrar,11
qismət,11
Dilbərin,11
tapmışam,11
"gətir,",11
"canı,",11
cümlə,11
zəncir,11
tökülür.,11
Cahanda,11
"üzünə,",11
qaşı,11
nar,11
gözlərim,11
kaman,11
On,11
haradadır?,11
məndədir.,11
heyif,11
"Seyyida,",11
"deyin,",11
"aman,",11
ağlayırsan?,11
onundur.,11
onların,11
"gedib,",11
dostluq,11
olaydı!,11
ayağını,10
bülbülün,10
birdən,10
"deyən,",10
Qönçə,10
yarpağı,10
"görüncə,",10
ortaya,10
yaşımın,10
dodağı,10
kölgəsi,10
tozu,10
qalmadı,10
Şirinin,10
Xalqa,10
"etsəm,",10
xəzinənin,10
qəddimi,10
"görmədim,",10
sonu,10
əzm,10
xəbəri,10
küləyi,10
görməmişəm.,10
ağac,10
səpən,10
harada,10
edər?,10
sor,10
Ümidim,10
"ürək,",10
"verdim,",10
yolla,10
mehriban,10
dodaq,10
"yaşım,",10
bəxtim,10
fürsət,10
Əlinin,10
başımdan,10
çəmən,10
qoxulu,10
torpağını,10
qəflət,10
şair,10
"sözü,",10
canana,10
Rəhm,10
xalqın,10
ağzına,10
gözəlin,10
içən,10
"üzünü,",10
"çox,",10
ümid,10
"od,",10
qoymaz,10
ağzını,10
deyirlər.,10
xəta,10
Dedilər,10
Füzulinin,10
olmuşdur,10
çatmaq,10
Qaşının,10
camın,10
"Zahid,",10
çək,10
əbəs,10
küçənin,10
Eşqində,10
qovuşmaq,10
bağrını,10
"Allaha,",10
Başına,10
olandan,10
dodaqlarından,10
"istəyirsənsə,",10
Əbədi,10
"çəkin,",10
teli,10
"qədər,",10
Dünyaya,10
Aləmdə,10
yaxasını,10
əzəl,10
"əhli,",10
"bülbül,",10
"könlümü,",10
naqis,10
ağlı,10
vəslinin,10
yaşımı,10
dərdin,10
zərrəcə,10
Cahanı,10
Nuh,10
"görsə,",10
qəlb,10
etmişdir.,10
İsanın,10
bağına,10
"çəkdim,",10
miskin,10
çatmaz,10
gözlər,10
"deyib,",10
qəlbimə,10
açıq,10
dilini,10
ləzzət,10
behişt,10
bağda,10
Az,10
zalım,10
etsən,10
kəslər,10
qapısını,10
içim,10
Bunu,10
"ona,",10
abi-həyat,10
Qorxuram,10
şeir,10
güzgü,10
növ,10
xoşdur,10
qanlar,10
qəlbin,10
gəlsə,10
"düşsə,",10
"dur,",10
məqsədi,10
sözünə,10
sonsuz,10
"olubdur,",10
günəşə,10
baxma,10
"bildi,",10
bax.,10
"torpaq,",10
göyün,10
"bilər,",10
gözə,10
"dünya,",10
gətirir.,10
alır,10
ətrini,10
dərya,10
keyfiyyəti,10
camalın,10
qat,10
gördüyün,10
əzəmətli,10
Loğman,10
artar.,10
nəğmə,10
eybi,10
çeşməsi,10
Bircə,10
başdan-ayağa,10
əlin,10
"etdilər,",10
qədəm,10
"gətirdi,",10
Ancaq,10
Zənn,10
"tapdım,",10
ötrü,10
xəttin,10
açdı,10
kirpiyin,10
istərəm.,10
Çalış,10
da.,10
bilər.,10
Odur,10
hüsnünə,10
ətir,10
İsmayıl,10
"ağa,",10
"üzlü,",10
gerçək,10
dönmərəm.,10
arzular.,10
eylər,10
dönüb,10
cürə,10
dərs,10
Böyük,10
"sevgili,",10
Külək,10
padşah,10
"şərab,",10
bilməyən,10
susadı.,10
xəcalət,10
deyərəm.,10
əlli,10
xitab,10
idi;,10
"başına,",10
Gündə,10
qazi,10
gəlməsin.,10
çoban,10
durnalar!,10
deyiləm,10
keçdi.,10
edirəm,10
kilsədən,10
"Allah,",10
"gələydi,",10
Bütünlüklə,10
arasında.,10
Mirza!,10
Üç,10
"Lakin,",10
gətir!,10
qəmzə,9
bülbülə,9
gözündə,9
gözlərini,9
giriftar,9
oxun,9
keçən,9
səhraya,9
gecəsi,9
vəsf,9
olsam,9
edərək,9
hələ.,9
murad,9
pərdəsi,9
məlhəm,9
"etməsin,",9
Ehtiyat,9
gülzar,9
Güllər,9
seli,9
anlıq,9
"qalmaz,",9
"olanda,",9
Gözəlliyinin,9
şövqü,9
guya,9
qış,9
Zamanın,9
ləhzə,9
yerim,9
qarışqa,9
rəhmət,9
özümü,9
etdi?,9
ümidini,9
"kəsmə,",9
sirləri,9
aləmin,9
hədsiz,9
Füzulidən,9
zövqünü,9
unut!,9
